Date, Open, High, Low, Close
9/15/2023,34902.04,34902.04,34572.27,34618.24
9/14/2023,34687.5,34977.97,34687.5,34907.11
9/13/2023,34667.28,34767.11,34509.95,34575.53
9/12/2023,34620.02,34852.61,34560.55,34645.99
9/11/2023,34650.01,34784.52,34578.59,34663.72
9/8/2023,34487.41,34627.85,34473.57,34576.59
9/7/2023,34351.18,34560.86,34351.18,34500.73
9/6/2023,34611.68,34611.68,34291.56,34443.19
9/5/2023,34843.22,34871.26,34635.63,34641.97
9/1/2023,34876.24,34979.18,34720.7,34837.71
8/31/2023,34909.09,35070.21,34719.77,34721.91
8/30/2023,34847.8,35025.57,34811.74,34890.24
8/29/2023,34531.12,34864.42,34531.12,34852.67
8/28/2023,34441.64,34652.91,34441.64,34559.98
8/25/2023,34217.06,34441.91,34029.22,34346.9
8/24/2023,34439.83,34694.68,34093.65,34099.42
8/23/2023,34338.59,34534.72,34321,34472.98
8/22/2023,34494.17,34514.04,34256.84,34288.83
8/21/2023,34531.28,34570.96,34248.46,34463.69
8/18/2023,34368.36,34587.07,34263.19,34500.66
8/17/2023,34829.61,34888.48,34440.73,34474.83
8/16/2023,34914.96,35133.56,34757.37,34765.74
8/15/2023,35219.37,35219.37,34908.5,34946.39
8/14/2023,35273.89,35335.45,35169.97,35307.63
8/11/2023,35111.36,35354.6,35059.99,35281.4
8/10/2023,35231.54,35578.58,35107.6,35176.15
8/9/2023,35324.28,35370.89,35058.73,35123.36
8/8/2023,35345.4,35346.64,35007.41,35314.49
8/7/2023,35125.6,35497.38,35125.6,35473.13
8/4/2023,35230.13,35506.88,35033.76,35065.62
8/3/2023,35194.56,35348.2,35122.32,35215.89
8/2/2023,35551.92,35551.92,35226.26,35282.52
8/1/2023,35585.99,35679.13,35526.61,35630.68
7/31/2023,35465.97,35566.95,35430.22,35559.53
7/28/2023,35443.49,35565.51,35355.15,35459.29
7/27/2023,35558.79,35645.35,35216.58,35282.72
7/26/2023,35345.99,35633.61,35306.27,35520.12
7/25/2023,35421.49,35527.57,35365.26,35438.07
7/24/2023,35230.79,35463.97,35230.79,35411.24
7/21/2023,35274.32,35340.66,35186.05,35227.69
7/20/2023,35091.98,35372.77,35091.98,35225.18
7/19/2023,34991.21,35234.05,34991.21,35061.21
7/18/2023,34597.08,34986.36,34530.61,34951.93
7/17/2023,34499.74,34665.15,34418.72,34585.35
7/14/2023,34425.33,34592.26,34425.33,34509.03
7/13/2023,34412.31,34482.26,34365.33,34395.14
7/12/2023,34395.28,34586.94,34308.78,34347.43
7/11/2023,34056.94,34288.87,33993.01,34261.42
7/10/2023,33705.68,33958.36,33705.68,33944.4
7/7/2023,33837.07,34036.38,33716.75,33734.88
7/6/2023,34171.39,34171.39,33771.47,33922.26
7/5/2023,34344.72,34376.11,34226.98,34288.64
7/3/2023,34369.78,34465.6,34286.54,34418.47
6/30/2023,34269.92,34467.35,34269.92,34407.6
6/29/2023,33854.57,34147.68,33828.63,34122.42
6/28/2023,33881.38,33903.76,33755.92,33852.66
6/27/2023,33739.03,33975.65,33730.39,33926.74
6/26/2023,33730.79,33819.49,33610.32,33714.71
6/23/2023,33835.66,33835.66,33646.49,33727.43
6/22/2023,33900.47,34003.56,33835.39,33946.71
6/21/2023,33990.56,34097.93,33876.17,33951.52
6/20/2023,34206.66,34206.66,33915.93,34053.87
6/16/2023,34464.02,34588.68,34285.69,34299.12
6/15/2023,33945.98,34488.98,33945.98,34408.06
6/14/2023,34044.7,34151.42,33783.55,33979.33
6/13/2023,34111.08,34310.28,34107.98,34212.12
6/12/2023,33906.8,34077.84,33878.46,34066.33
6/9/2023,33852.44,33975.32,33787.16,33876.78
6/8/2023,33656.98,33873.81,33630.04,33833.61
6/7/2023,33562.47,33708.78,33546.11,33665.02
6/6/2023,33547.67,33631.25,33399.69,33573.28
6/5/2023,33771.13,33804.22,33552.79,33562.86
6/2/2023,33187.58,33805,33187.58,33762.76
6/1/2023,32929.85,33167.75,32704.51,33061.57
5/31/2023,32948.71,32984.83,32739.73,32908.27
5/30/2023,33103.65,33132.7,32893.97,33042.78
5/26/2023,32795.5,33162.06,32795.5,33093.34
5/25/2023,32854.26,32870.43,32586.56,32764.65
5/24/2023,33021.76,33031.75,32752.44,32799.92
5/23/2023,33190.6,33310.17,33013.29,33055.51
5/22/2023,33408.54,33512.3,33207.85,33286.58
5/19/2023,33582.95,33652.9,33336.66,33426.63
5/18/2023,33374.56,33579.91,33212.09,33535.91
5/17/2023,33092.48,33472.38,33050.41,33420.77
5/16/2023,33275.37,33290.85,33006.19,33012.14
5/15/2023,33321.21,33400.3,33161.93,33348.6
5/12/2023,33370.58,33406.4,33110.61,33300.62
